,p,c,r_g,R,g_fix_1,g_fix_2,g_mut_1,g_mut_2,gamma,Util_Port,Out_Risk,Out_Yield,Weights,POB-Base,MV_Base,V_Base,M_Base,POB-Mean,MV_Mean,V_Mean,M_Mean,POB-BeatBest,MV_BeatBest,V_BeatBest,M_BeatBest,POB-Adopt,MV_Adopt,V_Adopt,M_Adopt,POB-ClairvoyanceOp,MV_ClairvoyanceOp,V_ClairvoyanceOp,M_ClairvoyanceOp,Criterion1,Criterion2,Criterion3
0,0.1,0.1,-0.9,0.1,-0.7,-0.7,-0.7,-0.7,52.85799158968346,-0.7310979919776733,0.00045411421034158295,-0.7190962094221778,"{'env_1': [0.0, 0.0, 1.0], 'env_2': [0.0, 0.0, 1.0]}",0.03890200802232657,-0.7699999999999999,0.0,-0.7699999999999999,0.017699922992368444,-0.7487979149700418,0.000802228173727894,-0.7275958299400838,1.9540571716269994e-08,-0.731098011518245,0.0004542752273846151,-0.7190919734439963,0.02502730331241021,-0.7561252952900835,0.0005249803984773704,-0.7422505905463508,-0.023349427331216588,-0.7077485646464567,0.0007469999516487302,-0.6880061060655854,1.9540571716269994e-08,0.017699922992368444,0.02502730331241021
1,0.1,0.1,-0.9,0.1,-0.7,-0.7,-0.7,-0.35,35.79974305021044,-0.541977312407099,0.0028601867341972406,-0.4907803373271583,"{'env_1': [2.791118996229509e-10, 5.915644389477921e-08, 0.9999999405644442], 'env_2': [2.791118996229509e-10, 5.915644389477921e-08, 0.9999999405644442]}",0.06937076071260773,-0.6113480731197067,0.008863299753731641,-0.45269614623941373,0.069370760719079,-0.611348073126178,0.008863278672368347,-0.45269652359949275,2.444145967839262e-07,-0.5419775568216958,0.0028636153100483164,-0.49071921067450663,0.024465343457432343,-0.5664426558645314,0.005471144011066295,-0.46850988097109547,-0.018830065142804497,-0.5231472472642945,0.004511633228714812,-0.4423895921019037,2.444145967839262e-07,0.069370760719079,0.024465343457432343
2,0.1,0.1,-0.9,0.1,-0.7,-0.7,-0.7,0.0,24.24362366436476,-0.4257445565854918,0.018972316355189124,-0.19576570770725285,"{'env_1': [1.3194244433490304e-08, 4.322629143167556e-10, 0.9999999863734921], 'env_2': [1.3194244433490304e-08, 4.322629143167556e-10, 0.9999999863734921]}",0.1099794830479176,-0.5357240396334094,0.019326810513970175,-0.30144807926681894,0.10997948310353767,-0.5357240396890295,0.019326810486973114,-0.30144807964969234,-5.376745638774327e-06,-0.42573917983985304,0.01903404014224379,-0.19501212682936758,0.03296920709102358,-0.4587137636765154,0.023102097663318798,-0.17867448287296805,-0.0024647048200673316,-0.4232798517654245,0.015312546965037567,-0.23766403878378373,-5.376745638774327e-06,0.10997948310353767,0.03296920709102358
3,0.1,0.1,-0.9,0.1,-0.7,-0.7,-0.7,0.3499999999999998,18.08463882047085,-0.36133986876609486,0.04519417111135069,0.04732026190381855,"{'env_1': [0.08270108880661498, 1.888531803457788e-12, 0.9172989111916534], 'env_2': [0.08270108880661498, 1.888531803457788e-12, 0.9172989111916534]}",0.0945981102492151,-0.45593797901530997,0.03473246262780636,-0.14187595803062003,0.09459811030184112,-0.455937979067936,0.034732462634535236,-0.14187595802240144,2.8328755059536803e-05,-0.3613681975211544,0.04519103820012451,0.04726360436461942,0.0007953206318287998,-0.36213518939792366,0.04510621572197999,0.04572962054721595,-0.036274163083910016,-0.32506570568218485,0.02751837787126812,-0.0762357433186241,2.8328755059536803e-05,0.09459811030184112,0.0007953206318287998
4,0.1,0.1,-0.9,0.1,-0.7,-0.7,-0.7,0.7,14.402316600423651,-0.2928623735819982,0.06625845534368996,0.184275252075429,"{'env_1': [0.21127464064290902, 2.801885362176949e-10, 0.7887253590769031], 'env_2': [0.21127464064290902, 2.801885362176949e-10, 0.7887253590769031]}",0.08277758182849576,-0.37563995541049394,0.05476341834867117,0.018720089179011967,0.08277758188366563,-0.3756399554656638,0.05476341831094611,0.018720088852178532,0.00015800649294828162,-0.29302038007494646,0.06623651352372714,0.1839592390635334,0.000695349388372235,-0.2935577229703704,0.06616189456851997,0.1828845532594652,-0.06641644001323332,-0.22644593356876486,0.04338881637346115,0.08600380159535166,0.00015800649294828162,0.08277758188366563,0.000695349388372235
5,0.1,0.1,-0.9,0.1,-0.7,-0.7,-0.35,-0.7,145.9026276319045,-0.7328135503544443,0.0005097433845619402,-0.6956271007416621,"{'env_1': [0.4641460843051686, 1.7191282674844863e-10, 0.5358539155229185], 'env_2': [0.4641460843051686, 1.7191282674844863e-10, 0.5358539155229185]}",0.03548943119344228,-0.7683029815478866,2.3262342558965598e-05,-0.7666059630957733,0.003351695054644832,-0.7361652454090891,0.0004637991129009959,-0.7023304907762867,9.530530871615372e-05,-0.7329088556631604,0.0005084369610515093,-0.6958177113618605,4.171354698978558e-05,-0.7328552639014341,0.0005091715846990621,-0.6957105278398861,-0.08929865359916989,-0.6435148967552744,5.2195305173530215e-06,-0.643134125146531,9.530530871615372e-05,0.003351695054644832,4.171354698978558e-05
6,0.1,0.1,-0.9,0.1,-0.7,-0.7,-0.35,-0.35,343.3827074404735,-0.3578798283961997,1.4306308929636224e-05,-0.3554235588493306,"{'env_1': [2.140411627473762e-11, 2.1193554168847992e-10, 0.9999999997666603], 'env_2': [2.140411627473762e-11, 2.1193554168847992e-10, 0.9999999997666603]}",0.027120171603800258,-0.38499999999999995,0.0,-0.38499999999999995,0.023856467269687653,-0.38173629566588735,1.9009139307087567e-05,-0.3784725908051965,1.319286043188761e-07,-0.357879960324804,1.433602351916569e-05,-0.3554185890398333,0.01726666258924353,-0.3751464909854432,5.734375483751162e-05,-0.36530106408998947,1.1414323408676097e-07,-0.3578799425394338,1.4334555917677738e-05,-0.35541882322894924,1.319286043188761e-07,0.023856467269687653,0.01726666258924353
7,0.1,0.1,-0.9,0.1,-0.7,-0.7,-0.35,0.0,72.015393472834,-0.19655571877845535,0.0018914185849291307,-0.12845009197070323,"{'env_1': [1.3703690554343692e-10, 6.992966621705791e-08, 0.9999999299333019], 'env_2': [1.3703690554343692e-10, 6.992966621705791e-08, 0.9999999299333019]}",0.19150201500193248,-0.3880577337803878,0.008930249999999997,-0.0665,0.1915020150969441,-0.38805773387539944,0.008930249972239509,-0.0665000010946691,5.238094102910651e-07,-0.19655624258786564,0.0018954028786653421,-0.12830715053955136,0.08115949314794657,-0.2777152119264019,0.005070233903747735,-0.0951477671375538,-0.0001466910365721108,-0.19640902774188324,0.0017353689250199991,-0.13392238976396112,5.238094102910651e-07,0.1915020150969441,0.08115949314794657
8,0.1,0.1,-0.9,0.1,-0.7,-0.7,-0.35,0.3499999999999998,37.373168458100274,-0.16415273702482475,0.018692731169052953,0.18515055843667483,"{'env_1': [1.3696088147734584e-09, 1.4174657414990855e-10, 0.9999999984886454], 'env_2': [1.3696088147734584e-09, 1.4174657414990855e-10, 0.9999999984886454]}",0.21465679029066004,-0.3788095273154848,0.020934295315265326,0.012380945369030477,0.21465679032905105,-0.3788095273538758,0.02093429527648903,0.01238094460604382,2.3404414750127778e-06,-0.16415507746629976,0.018704125574255253,0.1853611405077527,0.0810839720373078,-0.24523670906213255,0.024564575408253835,0.21379129835526547,-0.0606657384798254,-0.10348699854499935,0.006443510866815186,0.016920209998542494,2.3404414750127778e-06,0.21465679032905105,0.0810839720373078
9,0.1,0.1,-0.9,0.1,-0.7,-0.7,-0.35,0.7,24.84835811883398,-0.15945605926640294,0.04914158950616869,0.4510878480239986,"{'env_1': [0.04122325024441678, 3.2691467032561467e-11, 0.9587767497228055], 'env_2': [0.04122325024441678, 3.2691467032561467e-11, 0.9587767497228055]}",0.16066069788804077,-0.3201167571544437,0.036210299344049145,0.1297664856911126,0.1606606979218561,-0.32011675718825905,0.036210299334630144,0.12976648554027406,7.974630193585686e-06,-0.15946403389659652,0.049140947550790556,0.4510718976239426,0.0004287011645966454,-0.15988476043099958,0.04910708370911859,0.45023044065592355,-0.15165986913264246,-0.007796190133760483,0.014576293832303432,0.17330229446145282,7.974630193585686e-06,0.1606606979218561,0.0004287011645966454
